      Step     Time          Energy          fmax
BFGS:    0 12:47:04    -4262.497559        4.257041
BFGS:    1 12:47:05    -4270.781738        1.813785
BFGS:    2 12:47:07    -4284.898926        1.010882
BFGS:    3 12:47:09    -4289.153809        1.270247
BFGS:    4 12:47:13    -4291.800781        1.496364
BFGS:    5 12:47:15    -4294.871094        1.279184
BFGS:    6 12:47:17    -4297.498535        0.772455
BFGS:    7 12:47:19    -4299.432617        0.941663
BFGS:    8 12:47:21    -4300.775391        0.915528
BFGS:    9 12:47:23    -4302.157227        0.777717
BFGS:   10 12:47:27    -4303.439941        0.675866
BFGS:   11 12:47:29    -4304.406738        0.728150
BFGS:   12 12:47:31    -4305.219238        0.754146
BFGS:   13 12:47:33    -4306.029297        0.609536
BFGS:   14 12:47:35    -4306.729492        0.556544
BFGS:   15 12:47:37    -4307.331055        0.625762
BFGS:   16 12:47:41    -4307.861328        0.534496
BFGS:   17 12:47:43    -4308.346680        0.494760
BFGS:   18 12:47:44    -4308.879883        0.489383
BFGS:   19 12:47:46    -4309.305664        0.595328
BFGS:   20 12:47:48    -4309.690918        0.472464
BFGS:   21 12:47:50    -4310.066406        0.491405
BFGS:   22 12:47:54    -4310.435547        0.440521
BFGS:   23 12:47:56    -4310.764648        0.605662
BFGS:   24 12:47:58    -4311.063965        0.605878
BFGS:   25 12:48:00    -4311.354980        0.372362
BFGS:   26 12:48:02    -4311.617676        0.367191
BFGS:   27 12:48:04    -4311.851074        0.527039
BFGS:   28 12:48:08    -4312.053711        0.581879
BFGS:   29 12:48:10    -4312.277832        0.373591
BFGS:   30 12:48:12    -4312.463379        0.311467
BFGS:   31 12:48:14    -4312.665527        0.465994
BFGS:   32 12:48:16    -4312.829590        0.562463
BFGS:   33 12:48:18    -4313.006348        0.420692
BFGS:   34 12:48:22    -4313.175781        0.327564
BFGS:   35 12:48:24    -4313.337402        0.357559
BFGS:   36 12:48:26    -4313.483887        0.515373
BFGS:   37 12:48:28    -4313.636230        0.486023
BFGS:   38 12:48:30    -4313.766602        0.266453
BFGS:   39 12:48:33    -4313.893555        0.271578
BFGS:   40 12:48:36    -4314.006348        0.379907
BFGS:   41 12:48:38    -4314.114746        0.420663
BFGS:   42 12:48:40    -4314.210449        0.275163
BFGS:   43 12:48:42    -4314.301270        0.218707
BFGS:   44 12:48:44    -4314.385254        0.319561
BFGS:   45 12:48:47    -4314.465820        0.400339
BFGS:   46 12:48:50    -4314.552734        0.325386
BFGS:   47 12:48:52    -4314.632812        0.247287
BFGS:   48 12:48:54    -4314.707520        0.269563
BFGS:   49 12:48:56    -4314.786621        0.315188
BFGS:   50 12:48:57    -4314.863770        0.302121
BFGS:   51 12:49:01    -4314.939941        0.235616
BFGS:   52 12:49:03    -4315.006836        0.213762
BFGS:   53 12:49:05    -4315.066895        0.268053
BFGS:   54 12:49:07    -4315.131836        0.274459
BFGS:   55 12:49:09    -4315.191895        0.221099
BFGS:   56 12:49:11    -4315.250000        0.219040
BFGS:   57 12:49:14    -4315.306641        0.251432
BFGS:   58 12:49:17    -4315.360352        0.252360
BFGS:   59 12:49:19    -4315.413574        0.200916
BFGS:   60 12:49:21    -4315.464844        0.206297
BFGS:   61 12:49:23    -4315.509277        0.262365
BFGS:   62 12:49:25    -4315.564941        0.229847
BFGS:   63 12:49:28    -4315.611816        0.198724
BFGS:   64 12:49:31    -4315.661133        0.186792
BFGS:   65 12:49:33    -4315.705566        0.211675
BFGS:   66 12:49:35    -4315.749023        0.206972
BFGS:   67 12:49:37    -4315.794922        0.185272
BFGS:   68 12:49:39    -4315.836914        0.195907
BFGS:   69 12:49:42    -4315.879395        0.249235
BFGS:   70 12:49:45    -4315.920410        0.261988
BFGS:   71 12:49:47    -4315.961914        0.185105
BFGS:   72 12:49:49    -4316.001465        0.170080
BFGS:   73 12:49:51    -4316.040527        0.222188
BFGS:   74 12:49:52    -4316.078613        0.276415
BFGS:   75 12:49:55    -4316.119141        0.220501
BFGS:   76 12:49:58    -4316.159668        0.178756
BFGS:   77 12:50:00    -4316.198242        0.228828
BFGS:   78 12:50:02    -4316.239258        0.295218
BFGS:   79 12:50:04    -4316.280762        0.292971
BFGS:   80 12:50:06    -4316.323242        0.207699
BFGS:   81 12:50:09    -4316.364258        0.223265
BFGS:   82 12:50:12    -4316.405762        0.219265
BFGS:   83 12:50:14    -4316.451660        0.312756
BFGS:   84 12:50:16    -4316.500000        0.273908
BFGS:   85 12:50:18    -4316.549805        0.228720
BFGS:   86 12:50:20    -4316.592773        0.210800
BFGS:   87 12:50:23    -4316.637207        0.254009
BFGS:   88 12:50:26    -4316.679199        0.254477
BFGS:   89 12:50:27    -4316.728027        0.266953
BFGS:   90 12:50:29    -4316.767090        0.235438
BFGS:   91 12:50:31    -4316.808105        0.227272
BFGS:   92 12:50:33    -4316.848145        0.278216
BFGS:   93 12:50:36    -4316.890137        0.299806
BFGS:   94 12:50:39    -4316.936035        0.260906
BFGS:   95 12:50:41    -4316.971191        0.173927
BFGS:   96 12:50:43    -4317.009766        0.194097
BFGS:   97 12:50:45    -4317.046387        0.262211
BFGS:   98 12:50:47    -4317.083496        0.288234
BFGS:   99 12:50:51    -4317.114258        0.182066
BFGS:  100 12:50:53    -4317.148438        0.161422
BFGS:  101 12:50:55    -4317.174316        0.228096
BFGS:  102 12:50:57    -4317.203613        0.272268
BFGS:  103 12:50:59    -4317.232422        0.186588
BFGS:  104 12:51:01    -4317.256836        0.139936
BFGS:  105 12:51:06    -4317.281738        0.170909
BFGS:  106 12:51:08    -4317.306152        0.215845
BFGS:  107 12:51:10    -4317.328125        0.181270
BFGS:  108 12:51:11    -4317.350586        0.117299
BFGS:  109 12:51:13    -4317.369629        0.122149
BFGS:  110 12:51:15    -4317.388672        0.200839
BFGS:  111 12:51:20    -4317.406738        0.182612
BFGS:  112 12:51:22    -4317.424805        0.096779
