      Step     Time          Energy          fmax
FIRE:    0 21:48:55   -28007.685547        3.704169
FIRE:    1 21:49:22   -28019.351562        3.551645
FIRE:    2 21:49:48   -28030.439453        3.484190
FIRE:    3 21:50:15   -28040.949219        3.343873
FIRE:    4 21:50:42   -28050.818359        3.221859
FIRE:    5 21:51:08   -28060.031250        2.970123
FIRE:    6 21:51:33   -28068.562500        2.846677
FIRE:    7 21:51:58   -28076.404297        2.634722
FIRE:    8 21:52:23   -28083.572266        2.320234
FIRE:    9 21:52:47   -28090.091797        2.040348
FIRE:   10 21:53:12   -28096.023438        1.906966
