      Step     Time          Energy          fmax
FIRE:    0 00:47:08   -17348.205078        3.654954
FIRE:    1 00:47:38   -17358.490234        3.589958
FIRE:    2 00:48:05   -17368.164062        3.632608
FIRE:    3 00:48:34   -17377.179688        3.380219
FIRE:    4 00:49:02   -17385.593750        3.202509
FIRE:    5 00:49:29   -17393.412109        2.926118
FIRE:    6 00:49:51   -17400.648438        2.750899
FIRE:    7 00:50:15   -17407.300781        2.542033
FIRE:    8 00:50:38   -17413.433594        2.518371
FIRE:    9 00:51:06   -17419.123047        2.557679
FIRE:   10 00:51:29   -17424.417969        2.491776
FIRE:   11 00:51:51   -17429.320312        2.273968
FIRE:   12 00:52:12   -17433.869141        2.447784
FIRE:   13 00:52:34   -17438.113281        2.262730
FIRE:   14 00:52:59   -17442.121094        2.220523
FIRE:   15 00:53:42   -17445.898438        2.118225
FIRE:   16 00:54:13   -17449.468750        1.876581
